case_id,variant_id,query_text,canonical_query,query_variant_family,variant_operator,variant_subtype,severity,query_types,intended_poi_id,acceptable_poi_ids,primary_sampling_stratum,review_status,generator_version
g150-008,g150-008-v2,Ô Mai Hong Lam Cao Thang,Ô Mai Hồng Lam Cao Thắng,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8005555185,osm:node/8005555185,brand_branch,accepted,search20-stage1-query-variants@1
g150-008,g150-008-v3,Hồng Lam Bàn Cờ,Ô Mai Hồng Lam Cao Thắng,ALIAS,name_area,,CLEAN,name_area|brand|street|lang_vi,osm:node/8005555185,osm:node/8005555185,brand_branch,accepted,search20-stage1-query-variants@1
g150-008,g150-008-v4,Ô Mai Hồng Lam Cao Thắn,Ô Mai Hồng Lam Cao Thắng,MECHANICAL_TYPO,char_delete,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8005555185,osm:node/8005555185,brand_branch,accepted,search20-stage1-query-variants@1
g150-008,g150-008-v5,Ô Maii Hồng Lam Cao Thắng,Ô Mai Hồng Lam Cao Thắng,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8005555185,osm:node/8005555185,brand_branch,accepted,search20-stage1-query-variants@1
g150-008,g150-008-v6,Ô Mai Hồng Lam Cao Thắgn,Ô Mai Hồng Lam Cao Thắng,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/8005555185,osm:node/8005555185,brand_branch,accepted,search20-stage1-query-variants@1
g150-009,g150-009-v1,ACB Lạch Tray,ACB Lạch Tray,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_vi,osm:node/11533456837,osm:node/11533456837,brand_branch,accepted,search20-stage1-query-variants@1
g150-009,g150-009-v2,ACB Lach Tray,ACB Lạch Tray,ORTHOGRAPHIC_IME,strip_diacritics,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/11533456837,osm:node/11533456837,brand_branch,accepted,search20-stage1-query-variants@1
g150-009,g150-009-v3,Ngân hàng Lạch Tray,ACB Lạch Tray,ALIAS,category,,CLEAN,category|brand|street|lang_vi,osm:node/11533456837,osm:node/11533456837,brand_branch,accepted,search20-stage1-query-variants@1
g150-009,g150-009-v4,Ngân hàng ACB Lạch Tray,ACB Lạch Tray,ALIAS,short_name,,CLEAN,short_name|brand|street|lang_vi,osm:node/11533456837,osm:node/11533456837,brand_branch,accepted,search20-stage1-query-variants@1
g150-009,g150-009-v5,ACBB Lạch Tray,ACB Lạch Tray,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/11533456837,osm:node/11533456837,brand_branch,accepted,search20-stage1-query-variants@1
g150-009,g150-009-v6,ACB Lạch Chay,ACB Lạch Tray,PHONOLOGICAL,phonological_confusion,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/11533456837,osm:node/11533456837,brand_branch,accepted,search20-stage1-query-variants@1
g150-010,g150-010-v1,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,CLEAN,canonical,,CLEAN,exact_name|brand|street|name_area|lang_vi,osm:node/5920056999,osm:node/5920056999,brand_branch,accepted,search20-stage1-query-variants@1
g150-010,g150-010-v2,Cộng Ca Phe Nguyen Chi Thanh Da Nang,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/5920056999,osm:node/5920056999,brand_branch,accepted,search20-stage1-query-variants@1
g150-010,g150-010-v3,Cộng Cà Phê Nguyễn Chí Thanh,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,ADDRESS_VARIANT,address_component_omission,,CLEAN,address|brand|street|name_area|lang_vi,osm:node/5920056999,osm:node/5920056999,brand_branch,accepted,search20-stage1-query-variants@1
g150-010,g150-010-v4,Cộn Cà Phê Nguyễn Chí Thanh Đà Nẵng,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,MECHANICAL_TYPO,char_delete,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/5920056999,osm:node/5920056999,brand_branch,accepted,search20-stage1-query-variants@1
g150-010,g150-010-v5,Cộng Cà Phêe Nguyễn Chí Thanh Đà Nẵng,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,MECHANICAL_TYPO,char_insert,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/5920056999,osm:node/5920056999,brand_branch,accepted,search20-stage1-query-variants@1
g150-010,g150-010-v6,Cộng Cà Phê Nguyển Chí Thanh Đà Nẵng,Cộng Cà Phê Nguyễn Chí Thanh Đà Nẵng,ORTHOGRAPHIC_IME,tone_confuse,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/5920056999,osm:node/5920056999,brand_branch,accepted,search20-stage1-query-variants@1
g150-011,g150-011-v1,HDBank Xã Đàn,HDBank Xã Đàn,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_vi,osm:node/12833589502,osm:node/12833589502,brand_branch,accepted,search20-stage1-query-variants@1
g150-011,g150-011-v2,HDBank Xã Dan,HDBank Xã Đàn,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/12833589502,osm:node/12833589502,brand_branch,accepted,search20-stage1-query-variants@1
g150-011,g150-011-v3,HDBank Kim Liên,HDBank Xã Đàn,ALIAS,name_area,,CLEAN,name_area|brand|street|lang_vi,osm:node/12833589502,osm:node/12833589502,brand_branch,accepted,search20-stage1-query-variants@1
g150-011,g150-011-v4,HDBank Sã Đàn,HDBank Xã Đàn,PHONOLOGICAL,phonological_confusion,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/12833589502,osm:node/12833589502,brand_branch,accepted,search20-stage1-query-variants@1
g150-011,g150-011-v5,HDBankk Xã Đàn,HDBank Xã Đàn,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/12833589502,osm:node/12833589502,brand_branch,accepted,search20-stage1-query-variants@1
g150-011,g150-011-v6,HDBakn Xã Đàn,HDBank Xã Đàn,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/12833589502,osm:node/12833589502,brand_branch,accepted,search20-stage1-query-variants@1
g150-012,g150-012-v1,Cà phê Trung Nguyên Diên Hồng,Cà phê Trung Nguyên Diên Hồng,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_vi,osm:node/13575063123,osm:node/13575063123,brand_branch,accepted,search20-stage1-query-variants@1
g150-012,g150-012-v2,Cà phe Trung Nguyen Dien Hong,Cà phê Trung Nguyên Diên Hồng,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/13575063123,osm:node/13575063123,brand_branch,accepted,search20-stage1-query-variants@1
g150-012,g150-012-v3,Trung Nguyên Legend Diên Hồng,Cà phê Trung Nguyên Diên Hồng,ALIAS,short_name,,CLEAN,short_name|brand|street|lang_vi,osm:node/13575063123,osm:node/13575063123|osm:way/1479927274,brand_branch,accepted,search20-stage1-query-variants@1
g150-012,g150-012-v4,Trung Nguyên Cà phê Diên Hồng,Cà phê Trung Nguyên Diên Hồng,STRUCTURAL,token_order_variant,,CLEAN,short_name|brand|street|lang_vi,osm:node/13575063123,osm:node/13575063123,brand_branch,accepted,search20-stage1-query-variants@1
g150-012,g150-012-v5,Cà phêe Trung Nguyên Diên Hồng,Cà phê Trung Nguyên Diên Hồng,MECHANICAL_TYPO,char_insert,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/13575063123,osm:node/13575063123,brand_branch,accepted,search20-stage1-query-variants@1
g150-012,g150-012-v6,Cà phê Trung Nguyên Diên Hồn,Cà phê Trung Nguyên Diên Hồng,MECHANICAL_TYPO,char_delete,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/13575063123,osm:node/13575063123,brand_branch,accepted,search20-stage1-query-variants@1
g150-013,g150-013-v1,VIB Đường 3 Tháng 2,VIB Đường 3 Tháng 2,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_vi,osm:node/3301809365,osm:node/3301809365,brand_branch,accepted,search20-stage1-query-variants@1
g150-013,g150-013-v2,VIB Đường 3 Thang 2,VIB Đường 3 Tháng 2,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/3301809365,osm:node/3301809365,brand_branch,accepted,search20-stage1-query-variants@1
g150-013,g150-013-v3,VIB Đ. 3 Tháng 2,VIB Đường 3 Tháng 2,ALIAS,abbreviation,,CLEAN,abbreviation|brand|street|lang_vi,osm:node/3301809365,osm:node/3301809365,brand_branch,accepted,search20-stage1-query-variants@1
g150-013,g150-013-v4,Ngân hàng VIB 3 Tháng 2,VIB Đường 3 Tháng 2,ALIAS,short_name,,CLEAN,short_name|brand|street|lang_vi,osm:node/3301809365,osm:node/3301809365|osm:way/1062310708,brand_branch,accepted,search20-stage1-query-variants@1
g150-013,g150-013-v5,VIBB Đường 3 Tháng 2,VIB Đường 3 Tháng 2,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/3301809365,osm:node/3301809365,brand_branch,accepted,search20-stage1-query-variants@1
g150-013,g150-013-v6,VIB Đườnng 3 Tháng 2,VIB Đường 3 Tháng 2,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_vi,osm:node/3301809365,osm:node/3301809365,brand_branch,accepted,search20-stage1-query-variants@1
g150-014,g150-014-v1,MSB Ngô Gia Tự Bắc Ninh,MSB Ngô Gia Tự Bắc Ninh,CLEAN,canonical,,CLEAN,exact_name|brand|street|name_area|lang_vi,osm:node/12917522273,osm:node/12917522273,brand_branch,accepted,search20-stage1-query-variants@1
g150-014,g150-014-v2,MSB Ngô Gia Tu Bac Ninh,MSB Ngô Gia Tự Bắc Ninh,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/12917522273,osm:node/12917522273,brand_branch,accepted,search20-stage1-query-variants@1
g150-014,g150-014-v3,MSB Kinh Bắc,MSB Ngô Gia Tự Bắc Ninh,ALIAS,name_area,,CLEAN,name_area|brand|street|lang_vi,osm:node/12917522273,osm:node/12917522273,brand_branch,accepted,search20-stage1-query-variants@1
g150-014,g150-014-v4,Ngân hàng MSB Ngô Gia Tự,MSB Ngô Gia Tự Bắc Ninh,ALIAS,short_name,,CLEAN,short_name|brand|street|name_area|lang_vi,osm:node/12917522273,osm:node/12917522273,brand_branch,accepted,search20-stage1-query-variants@1
g150-014,g150-014-v5,MSBB Ngô Gia Tự Bắc Ninh,MSB Ngô Gia Tự Bắc Ninh,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/12917522273,osm:node/12917522273,brand_branch,accepted,search20-stage1-query-variants@1
g150-014,g150-014-v6,MSB Ngô Da Tự Bắc Ninh,MSB Ngô Gia Tự Bắc Ninh,PHONOLOGICAL,phonological_confusion,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:node/12917522273,osm:node/12917522273,brand_branch,accepted,search20-stage1-query-variants@1
g150-015,g150-015-v1,Cây xăng PV Oil Ngô Quyền Đà Nẵng,Cây xăng PV Oil Ngô Quyền Đà Nẵng,CLEAN,canonical,,CLEAN,exact_name|brand|street|name_area|lang_vi,osm:way/693404962,osm:way/693404962,brand_branch,accepted,search20-stage1-query-variants@1
g150-015,g150-015-v2,Cây xang PV Oil Ngo Quyen Da Nang,Cây xăng PV Oil Ngô Quyền Đà Nẵng,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:way/693404962,osm:way/693404962,brand_branch,accepted,search20-stage1-query-variants@1
g150-015,g150-015-v3,PV Oil Vĩnh Phú Ngô Quyền,Cây xăng PV Oil Ngô Quyền Đà Nẵng,ALIAS,short_name,,CLEAN,short_name|brand|street|name_area|lang_vi,osm:way/693404962,osm:way/693404962|osm:way/693361870|osm:way/693368219,brand_branch,accepted,search20-stage1-query-variants@1
g150-015,g150-015-v4,PVOil Ngô Quyền An Hải,Cây xăng PV Oil Ngô Quyền Đà Nẵng,ALIAS,name_area,,CLEAN,name_area|brand|street|lang_vi,osm:way/693404962,osm:way/693404962|osm:way/693361870|osm:way/693368219,brand_branch,accepted,search20-stage1-query-variants@1
g150-015,g150-015-v5,Cây xăng PV Oill Ngô Quyền Đà Nẵng,Cây xăng PV Oil Ngô Quyền Đà Nẵng,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:way/693404962,osm:way/693404962,brand_branch,accepted,search20-stage1-query-variants@1
g150-015,g150-015-v6,Cây xăng PV Oil Ngô Qyuền Đà Nẵng,Cây xăng PV Oil Ngô Quyền Đà Nẵng,MECHANICAL_TYPO,char_transpose,,SINGLE,partial|brand|street|name_area|typo|lang_vi,osm:way/693404962,osm:way/693404962,brand_branch,accepted,search20-stage1-query-variants@1
g150-016,g150-016-v1,WinMart Đại La,WinMart Đại La,CLEAN,canonical,,CLEAN,exact_name|brand|street|lang_mixed,osm:way/570572174,osm:way/570572174,brand_branch,accepted,search20-stage1-query-variants@1
g150-016,g150-016-v2,WinMart Dai La,WinMart Đại La,ORTHOGRAPHIC_IME,strip_diacritics,,SINGLE,partial|brand|street|typo|lang_mixed,osm:way/570572174,osm:way/570572174,brand_branch,accepted,search20-stage1-query-variants@1
g150-016,g150-016-v3,Winmart Tương Mai,WinMart Đại La,ALIAS,name_area,,CLEAN,name_area|brand|street|lang_mixed,osm:way/570572174,osm:way/570572174,brand_branch,accepted,search20-stage1-query-variants@1
g150-016,g150-016-v4,Win Mart Đại La,WinMart Đại La,TOKEN_EDIT,space_split,,SINGLE,partial|brand|street|typo|lang_mixed,osm:way/570572174,osm:way/570572174,brand_branch,accepted,search20-stage1-query-variants@1
g150-016,g150-016-v5,WinMartt Đại La,WinMart Đại La,MECHANICAL_TYPO,double_letter,,SINGLE,partial|brand|street|typo|lang_mixed,osm:way/570572174,osm:way/570572174,brand_branch,accepted,search20-stage1-query-variants@1
g150-016,g150-016-v6,WinMart Đại Na,WinMart Đại La,PHONOLOGICAL,phonological_confusion,,SINGLE,partial|brand|street|typo|lang_mixed,osm:way/570572174,osm:way/570572174,brand_branch,accepted,search20-stage1-query-variants@1
g150-017,g150-017-v1,Honda Đức Hải Tánh Linh,Honda Đức Hải Tánh Linh,CLEAN,canonical,,CLEAN,exact_name|brand|name_area|lang_vi,osm:node/12584520697,osm:node/12584520697,brand_branch,accepted,search20-stage1-query-variants@1
g150-017,g150-017-v2,Honda Đức Hai Tanh Linh,Honda Đức Hải Tánh Linh,ORTHOGRAPHIC_IME,partial_diacritics,,SINGLE,partial|brand|name_area|typo|lang_vi,osm:node/12584520697,osm:node/12584520697,brand_branch,accepted,search20-stage1-query-variants@1
g150-017,g150-017-v3,HEAD Honda Đức Hải đường 25/12,Honda Đức Hải Tánh Linh,ALIAS,name_address,,CLEAN,name_address|brand|name_area|lang_vi,osm:node/12584520697,osm:node/12584520697,brand_branch,accepted,search20-stage1-query-variants@1
g150-017,g150-017-v4,Honda Đức Hãi Tánh Linh,Honda Đức Hải Tánh Linh,ORTHOGRAPHIC_IME,tone_confuse,,SINGLE,partial|brand|name_area|typo|lang_vi,osm:node/12584520697,osm:node/12584520697,brand_branch,accepted,search20-stage1-query-variants@1
