case_id,poi_id,name,brand,ref,category,province,subdistrict,housenumber,street,address_text,address_status,primary_sampling_stratum,name_fold_n,brand_n,name_province_n,clean_reason,legacy_pilot110,clean_pass,clean_notes
g150-011,osm:node/12833589502,HDBank,HDBank,,amenity=bank,Hà Nội,Phường Kim Liên,59,Phố Xã Đàn,"59, Phố Xã Đàn, Phường Kim Liên, Hà Nội",direct,brand_branch,34,27,5,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-012,osm:node/13575063123,Cà phê Trung Nguyên,Trung Nguyên,,amenity=cafe,Tỉnh Gia Lai,Phường Quy Nhơn Nam,172,Diên Hồng,"172, Diên Hồng, Phường Quy Nhơn Nam, Tỉnh Gia Lai",direct,brand_branch,41,40,5,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-013,osm:node/3301809365,VIB,VIB,,amenity=bank,Thành phố Hồ Chí Minh,Phường Hòa Hưng,330,Đường 3 Tháng 2,"330, Đường 3 Tháng 2, Phường Hòa Hưng, Thành phố Hồ Chí Minh",direct,brand_branch,62,50,4,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-014,osm:node/12917522273,MSB,MSB,,amenity=bank,Thành phố Bắc Ninh,Phường Kinh Bắc,274-276,Đường Ngô Gia Tự,"274-276, Đường Ngô Gia Tự, Phường Kinh Bắc, Thành phố Bắc Ninh",direct,brand_branch,21,15,4,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-015,osm:way/693404962,Vĩnh Phú,PV Oil,,amenity=fuel|building=roof,Thành phố Đà Nẵng,Phường An Hải,1084,Đường Ngô Quyền,"1084, Đường Ngô Quyền, Phường An Hải, Thành phố Đà Nẵng",direct,brand_branch,2,202,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-016,osm:way/570572174,WinMart,WinMart,,shop=supermarket|building=yes,Hà Nội,Phường Tương Mai,163A,Phố Đại La,"163A, Phố Đại La, Phường Tương Mai, Hà Nội",direct,brand_branch,133,106,7,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-017,osm:node/12584520697,Honda Cửa Hàng Đức Hải,Honda,,shop=motorcycle,Tỉnh Lâm Đồng,Xã Tánh Linh,152,đường 25/12,"152, đường 25/12, Xã Tánh Linh, Tỉnh Lâm Đồng",direct,brand_branch,1,164,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-018,osm:node/6315680990,Head Tan Long Van 4,Honda,,shop=motorcycle,Thành phố Hồ Chí Minh,Phường Nhiêu Lộc,167,Trần Quốc Thảo,"167, Trần Quốc Thảo, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh",direct,brand_branch,1,164,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-019,osm:way/1457546056,Sacombank,Sacombank,,amenity=bank|building=yes,Thành phố Cần Thơ,Phường Tân An,160,Đường 3 Tháng 2,"160, Đường 3 Tháng 2, Phường Tân An, Thành phố Cần Thơ",direct,brand_branch,218,151,9,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-020,osm:way/164333086,Hyatt Regency Resort and Spa,Hyatt Regency,,tourism=hotel,Thành phố Đà Nẵng,Phường Ngũ Hành Sơn,5,Đường Trường Sa,"5, Đường Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng",direct,brand_branch,1,4,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-021,osm:node/11299136721,Samsung,Samsung,,shop=electronics,Hà Nội,Phường Văn Miếu - Quốc Tử Giám,438,Phố Xã Đàn,"438, Phố Xã Đàn, Phường Văn Miếu - Quốc Tử Giám, Hà Nội",direct,brand_branch,9,6,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-022,osm:way/776829700,Yamaha Town Nha Trang,YAMAHA,,shop=motorcycle_repair|building=yes,Khánh Hòa,Phường Nha Trang,1,Trần Quý Cáp,"1, Trần Quý Cáp, Phường Nha Trang, Khánh Hòa",direct,brand_branch,1,32,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-023,osm:way/683697190,ACB,ACB,,amenity=bank|building=yes,Thành phố Hồ Chí Minh,Phường Xóm Chiếu,14-16,Hoàng Diệu,"14-16, Hoàng Diệu, Phường Xóm Chiếu, Thành phố Hồ Chí Minh",direct,brand_branch,124,78,8,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-024,osm:node/13155788995,Pharmacity,Pharmacity,,amenity=pharmacy|healthcare=pharmacy,Thành phố Bắc Ninh,Phường Vũ Ninh,376,Đường Lý Thường Kiệt,"376, Đường Lý Thường Kiệt, Phường Vũ Ninh, Thành phố Bắc Ninh",direct,brand_branch,97,68,7,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-025,osm:node/14104855301,Highlands Coffee,Highlands Coffee,,amenity=cafe,Thành phố Đà Nẵng,Phường An Hải,910A,Đường Ngô Quyền,"910A, Đường Ngô Quyền, Phường An Hải, Thành phố Đà Nẵng",direct,brand_branch,258,229,10,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-026,osm:node/11372720369,Highlands Coffee,Highlands Coffee,,amenity=cafe,Hà Nội,Xã Gia Lâm,SH16-130,San Hô 16,"SH16-130, San Hô 16, Xã Gia Lâm, Hà Nội",direct,brand_branch,258,229,10,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-027,osm:node/10799322370,YAMAHA TOWN Huy Hoàng 3,Yamaha,,shop=motorcycle,Tỉnh Vĩnh Long,Phường Phú Khương,43,Đồng Khởi,"43, Đồng Khởi, Phường Phú Khương, Tỉnh Vĩnh Long",direct,brand_branch,1,32,1,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-028,osm:way/1435603858,Circle K,Circle K,,shop=convenience|building=terrace,Thành phố Hồ Chí Minh,Phường Chợ Lớn,9,Đường Nguyễn Kim,"9, Đường Nguyễn Kim, Phường Chợ Lớn, Thành phố Hồ Chí Minh",direct,brand_branch,211,170,4,multi_branch_brand_3_400_admin_ok,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=brand_branch;multi_branch_brand_3_400_admin_ok
g150-029,osm:way/957452559,Trường Tiểu học - Trung học cơ sở - Trung học phổ thông Khương Hạ,,,amenity=school,Hà Nội,Phường Khương Đình,31,Phố Khương Hạ,"31, Phố Khương Hạ, Phường Khương Đình, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-030,osm:node/10314842912,Vuon Phap 3 homestay,,,tourism=hotel,Tỉnh Đắk Lắk,Phường Buôn Ma Thuột,185 20 23,Đinh Tiên Hoàng,"185 20 23, Đinh Tiên Hoàng, Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-031,osm:node/13714059889,Tằm café,,,amenity=cafe,Thành phố Bắc Ninh,Phường Kinh Bắc,6,Phố Ngô Diễn,"6, Phố Ngô Diễn, Phường Kinh Bắc, Thành phố Bắc Ninh",direct,named_clear,2,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-032,osm:node/10736286030,Bon's vegan,,,amenity=restaurant,Thành phố Hồ Chí Minh,Phường Bến Thành,127,Hàm Nghi,"127, Hàm Nghi, Phường Bến Thành, Thành phố Hồ Chí Minh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-033,osm:node/5600961727,Le Dung hotel,,,tourism=hotel,Thành phố Đà Nẵng,Phường Bàn Thạch,32,Trần Phu,"32, Trần Phu, Phường Bàn Thạch, Thành phố Đà Nẵng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-034,osm:way/899332859,"475, Đường Cổ Nhuế",,,amenity=restaurant|building=yes,Hà Nội,Phường Đông Ngạc,475,Đường Cổ Nhuế,"475, Đường Cổ Nhuế, Phường Đông Ngạc, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-035,osm:node/5372078121,CH Kiên Huyền,,,shop=department_store,Tỉnh Ninh Bình,Phường Nam Định,5,Hồ Tùng Mâuj,"5, Hồ Tùng Mâuj, Phường Nam Định, Tỉnh Ninh Bình",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-036,osm:way/343923391,Spring Hotel,,,tourism=hotel|building=yes,Thành phố Cần Thơ,Phường Ninh Kiều,22,Khu dân cư số 9,"22, Khu dân cư số 9, Phường Ninh Kiều, Thành phố Cần Thơ",direct,named_clear,2,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-037,osm:way/1545385144,KOI Café,,,amenity=cafe|building=yes,Thành phố Hồ Chí Minh,Phường Chợ Lớn,181,Đường Trần Hưng Ðạo,"181, Đường Trần Hưng Ðạo, Phường Chợ Lớn, Thành phố Hồ Chí Minh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-038,osm:node/2091401450,Old Propaganda Posters,,,shop=art,Thành phố Đà Nẵng,Phường Hội An,40,Nguyễn Thị Minh Khai,"40, Nguyễn Thị Minh Khai, Phường Hội An, Thành phố Đà Nẵng",direct,named_clear,3,0,2,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-039,osm:way/814968070,Trường Mầm non Kim Liên (phân hiệu 1),,,amenity=kindergarten,Hà Nội,Phường Kim Liên,27,Phố Lương Định Của,"27, Phố Lương Định Của, Phường Kim Liên, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-040,osm:node/6945941285,Bánh Mì store,,,amenity=fast_food,Khánh Hòa,Phường Nha Trang,23,Nguyễn Trung Trực,"23, Nguyễn Trung Trực, Phường Nha Trang, Khánh Hòa",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-041,osm:node/14068677626,BB Hairstudio Bắc Ninh,,,shop=hairdresser,Thành phố Bắc Ninh,Phường Kinh Bắc,139,Đường Nguyễn Trãi,"139, Đường Nguyễn Trãi, Phường Kinh Bắc, Thành phố Bắc Ninh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-042,osm:node/4541430696,BiTy's Happy Land,,,shop=yes,Thành phố Hồ Chí Minh,Phường Bình Đông,56,Bùi Minh Trực,"56, Bùi Minh Trực, Phường Bình Đông, Thành phố Hồ Chí Minh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-043,osm:node/14004104302,At Ca Phe,,,amenity=cafe,Thành phố Đà Nẵng,Phường Sơn Trà,3,Đường Nại Hiên Đông 16,"3, Đường Nại Hiên Đông 16, Phường Sơn Trà, Thành phố Đà Nẵng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-044,osm:way/1142005105,Nhà văn hóa thôn Đặng,,,amenity=community_centre,Hà Nội,Xã Thuận An,100,Ngõ 405 đường Ỷ Lan,"100, Ngõ 405 đường Ỷ Lan, Xã Thuận An, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-045,osm:node/5047146521,BV Binh Thuan,,,amenity=hospital|healthcare=hospital,Tỉnh Lâm Đồng,Phường Tiến Thành,69,Trần Quý Cáp,"69, Trần Quý Cáp, Phường Tiến Thành, Tỉnh Lâm Đồng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-046,osm:node/12591913901,Mì Cay Seoul Cần Thơ,,,amenity=restaurant,Thành phố Cần Thơ,Phường Tân An,226D,Đường 3 Tháng 2,"226D, Đường 3 Tháng 2, Phường Tân An, Thành phố Cần Thơ",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-047,osm:node/2476392981,Khách Sạn Little Saigon Boutique,,,tourism=hotel,Thành phố Hồ Chí Minh,Phường Sài Gòn,36 Bis/2,Lê Lợi,"36 Bis/2, Lê Lợi, Phường Sài Gòn, Thành phố Hồ Chí Minh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-048,osm:node/11708234569,"129, Đường Nguyễn Văn Thoại",,,shop=mobile_phone,Thành phố Đà Nẵng,Phường An Hải,129,Đường Nguyễn Văn Thoại,"129, Đường Nguyễn Văn Thoại, Phường An Hải, Thành phố Đà Nẵng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-049,osm:node/6602491457,Cửa Hàng Bánh Mì Hội An,,,amenity=fast_food,Hà Nội,Phường Cửa Nam,88b,Trần Hưng đạo,"88b, Trần Hưng đạo, Phường Cửa Nam, Hà Nội",direct,named_clear,2,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-050,osm:node/6630618485,Hải toàn,,,shop=bicycle,Hà Tĩnh,Phường Thành Sen,31,Hà Tôn Mục,"31, Hà Tôn Mục, Phường Thành Sen, Hà Tĩnh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-051,osm:node/5958483585,Asia Outdoors,,,shop=travel_agency,Thành phố Hải Phòng,Đặc khu Cát Hải,210,Đường 1/4,"210, Đường 1/4, Đặc khu Cát Hải, Thành phố Hải Phòng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-052,osm:node/12072887602,Công ty TNHH TMDV Nam Trung Quân,,,shop=wholesale,Thành phố Hồ Chí Minh,Xã Hưng Long,118,đường liên ấp 4-5 ấp 4,"118, đường liên ấp 4-5 ấp 4, Xã Hưng Long, Thành phố Hồ Chí Minh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-053,osm:node/9655304117,Café Cố Quận,,,amenity=cafe,Thành phố Đà Nẵng,Phường An Hải,127,Đường Nguyễn Công Trứ,"127, Đường Nguyễn Công Trứ, Phường An Hải, Thành phố Đà Nẵng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-054,osm:node/11491290543,Glee Premium Foods,,,shop=deli,Hà Nội,Phường Hai Bà Trưng,126,Phố Triệu Việt Vương,"126, Phố Triệu Việt Vương, Phường Hai Bà Trưng, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-055,osm:node/13327595501,Thị Nấm Coffee & Breakfast,,,amenity=cafe,Tỉnh Gia Lai,Phường Quy Nhơn,25,Nguyễn Lạc,"25, Nguyễn Lạc, Phường Quy Nhơn, Tỉnh Gia Lai",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-056,osm:node/11765566693,Cửa Hàng Tiện Lợi - Cam Xanh Xanh Cam,,,amenity=fast_food,Thành phố Đồng Nai,Phường Trảng Bom,31,đường 2/9 khu phố 4,"31, đường 2/9 khu phố 4, Phường Trảng Bom, Thành phố Đồng Nai",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-057,osm:node/5004225021,Trường Trung học cơ sở Nguyễn An Khương,,,amenity=school,Thành phố Hồ Chí Minh,Xã Hóc Môn,66/6,Lê Thị Hồng Gấm,"66/6, Lê Thị Hồng Gấm, Xã Hóc Môn, Thành phố Hồ Chí Minh",direct,named_clear,2,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-058,osm:node/4279640089,Nhà cổ Phùng Hưng,,,tourism=museum,Thành phố Đà Nẵng,Phường Hội An,4,Nguyễn Thị Minh Khai,"4, Nguyễn Thị Minh Khai, Phường Hội An, Thành phố Đà Nẵng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-059,osm:way/1365472868,Phở gà Lâm,,,amenity=restaurant|building=yes,Hà Nội,Phường Láng,26,Phố Láng Hạ,"26, Phố Láng Hạ, Phường Láng, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-060,osm:node/2494767463,Medic Đất Việt,,,amenity=clinic|healthcare=clinic,Tỉnh Đắk Lắk,Phường Buôn Ma Thuột,2,Nơ Trang Long,"2, Nơ Trang Long, Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-061,osm:node/13442699218,Nhà thuốc Minh Anh,,,shop=chemist,Thành phố Bắc Ninh,Phường Võ Cường,34,Đường Trần Hưng Đạo,"34, Đường Trần Hưng Đạo, Phường Võ Cường, Thành phố Bắc Ninh",direct,named_clear,3,0,2,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-062,osm:node/11407122680,Trung tâm Y khoa Bernard,,,healthcare=yes,Thành phố Hồ Chí Minh,Phường Tân Sơn Hòa,22,Phan Đình Giót,"22, Phan Đình Giót, Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
